I_r,dt,time
0.00041292,1,0
0.00041292,1,1
0.00041292,1,2
0.00041292,1,3
0.00041292,1,4
0.00041292,1,5
0.00041292,1,6
0.00041292,1,7
0.00041292,1,8
0.00041292,1,9
0.00041292,1,10
0.00041292,1,11
0.00041292,1,12
0.00041292,1,13
0.00041292,1,14
0.00041292,1,15
0.005,0.0005,15.0005
0.005,0.0005,15.001
0.005,0.0005,15.0015
0.005,0.0005,15.002
0.005,0.0005,15.0025
0.00041292,0.00056,15.00306
0.00041292,0.00056,15.00362
0.00041292,0.00056,15.00418
0.00041292,0.00056,15.00474
0.00041292,0.00056,15.0053
0.013,8E-05,15.00538
0.013,8E-05,15.00546
0.013,8E-05,15.00554
0.013,8E-05,15.00562
0.013,8E-05,15.0057
0.001,4E-05,15.00574
0.001,4E-05,15.00578
0.001,4E-05,15.00582
0.001,4E-05,15.00586
0.001,4E-05,15.0059
0.013,8E-05,15.00598
0.013,8E-05,15.00606
0.013,8E-05,15.00614
0.013,8E-05,15.00622
0.013,8E-05,15.0063
0.001,4E-05,15.00634
0.001,4E-05,15.00638
0.001,4E-05,15.00642
0.001,4E-05,15.00646
0.001,4E-05,15.0065
0.013,8E-05,15.00658
0.013,8E-05,15.00666
0.013,8E-05,15.00674
0.013,8E-05,15.00682
0.013,8E-05,15.0069
0.001,4E-05,15.00694
0.001,4E-05,15.00698
0.001,4E-05,15.00702
0.001,4E-05,15.00706
0.001,4E-05,15.0071
