time,I_r,dt
0,1.10E-05,1.00E-01
0.1,1.07E-05,1.00E-01
0.2,1.08E-05,1.00E-01
0.3,4.90E-06,1.00E-01
0.4,8.90E-06,1.00E-01
0.5,9.60E-06,1.00E-01
0.6,6.10E-06,1.00E-01
0.7,8.30E-06,1.00E-01
0.8,1.16E-05,1.00E-01
0.9,4.40E-06,1.00E-01
1,8.10E-06,1.00E-01
1.5,6.20E-06,5.00E-01
2,3.20E-06,5.00E-01
2.5,7.00E-06,5.00E-01
3,8.60E-06,5.00E-01
3.5,8.60E-06,5.00E-01
4,5.40E-06,5.00E-01
4.5,8.50E-06,5.00E-01
5,1.10E-05,5.00E-01
5.5,5.60E-06,5.00E-01
6,7.10E-06,5.00E-01
6.5,6.60E-06,5.00E-01
7,1.01E-05,5.00E-01
7.5,5.00E-06,5.00E-01
8,9.40E-06,5.00E-01
8.5,1.23E-05,5.00E-01
9,1.17E-05,5.00E-01
9.5,1.14E-05,5.00E-01
10,4.00E-06,5.00E-01
10.5,9.00E-06,5.00E-01
11,4.50E-06,5.00E-01
11.5,7.00E-06,5.00E-01
12,7.90E-06,5.00E-01
12.5,1.02E-05,5.00E-01
13,5.20E-06,5.00E-01
13.5,6.10E-06,5.00E-01
14,7.20E-06,5.00E-01
14.5,5.70E-06,5.00E-01
14.9799,1.28E-05,4.80E-01
14.9999,7.30E-06,2.00E-02
15,8.00E-04,1.00E-04
15.0001,8.09E-04,1.00E-04
15.0002,8.01E-04,1.00E-04
15.0003,8.01E-04,1.00E-04
15.0004,8.00E-04,1.00E-04
15.0005,8.03E-04,1.00E-04
15.0006,8.09E-04,1.00E-04
15.0007,8.05E-04,1.00E-04
15.0008,8.08E-04,1.00E-04
15.0009,8.06E-04,1.00E-04
15.001,8.08E-04,1.00E-04
15.0011,9.47E-05,1.00E-04
15.0041,9.73E-05,3.00E-03
15.0071,8.86E-05,3.00E-03
15.0101,9.37E-05,3.00E-03
15.0131,8.98E-05,3.00E-03
15.0161,9.09E-05,3.00E-03
15.0191,9.71E-05,3.00E-03
15.0221,8.98E-05,3.00E-03
15.0251,9.36E-05,3.00E-03
15.0281,8.81E-05,3.00E-03
15.0311,8.95E-05,3.00E-03
15.0312,0.000204657,1.00E-04
15.0313,0.000613929,1.00E-04
15.0314,0.000943258,1.00E-04
15.0315,0.00122621,1.00E-04
15.0316,0.001467077,1.00E-04
15.0317,0.001675878,1.00E-04
15.0318,0.001845276,1.00E-04
15.0319,0.001994278,1.00E-04
15.032,0.002127458,1.00E-04
15.0321,0.00220934,1.00E-04
15.0322,0.002067109,1.00E-04
15.0323,0.001874171,1.00E-04
15.0324,0.001745265,1.00E-04
15.0325,0.001632963,1.00E-04
15.0326,0.001528761,1.00E-04
15.0327,0.00145199,1.00E-04
15.0328,0.00137558,1.00E-04
15.0329,0.001299986,1.00E-04
15.033,0.001234335,1.00E-04
15.0331,0.001112861,1.00E-04
15.0332,0.000984512,1.00E-04
15.0333,0.000865787,1.00E-04
15.0334,0.000775943,1.00E-04
15.0335,0.000695388,1.00E-04
15.0336,0.000624906,1.00E-04
15.0337,0.000572267,1.00E-04
15.0338,0.000521274,1.00E-04
15.0339,0.000477319,1.00E-04
15.034,0.000437875,1.00E-04
15.0341,0.000405822,1.00E-04
15.0342,0.00038329,1.00E-04
15.0343,0.00036529,1.00E-04
15.0344,0.000332209,1.00E-04
15.0345,0.000301973,1.00E-04
15.0346,0.000279352,1.00E-04
15.0347,0.000257521,1.00E-04
15.0348,0.000224964,1.00E-04
15.0349,0.00021364,1.00E-04
15.035,0.000194858,1.00E-04
15.0351,0.000180308,1.00E-04
15.0352,0.000170631,1.00E-04
15.0353,0.000157218,1.00E-04
15.0354,0.00014786,1.00E-04
15.0355,0.000139952,1.00E-04
15.0356,0.000130874,1.00E-04
15.0357,0.000124729,1.00E-04
15.0358,0.000116066,1.00E-04
15.0359,0.00011678,1.00E-04
15.036,0.000109063,1.00E-04
15.0361,9.81E-05,1.00E-04
15.0362,9.77E-05,1.00E-04
15.0363,9.20E-05,1.00E-04
15.0364,9.32E-05,1.00E-04
15.0365,8.86E-05,1.00E-04
15.0366,8.68E-05,1.00E-04
15.0367,8.29E-05,1.00E-04
15.0368,7.95E-05,1.00E-04
15.0369,8.06E-05,1.00E-04
15.037,7.85E-05,1.00E-04
15.0371,7.66E-05,1.00E-04
15.0372,7.54E-05,1.00E-04
15.0373,7.74E-05,1.00E-04
15.0374,7.90E-05,1.00E-04
15.0375,7.89E-05,1.00E-04
15.0376,6.82E-05,1.00E-04
15.0377,6.56E-05,1.00E-04
15.0378,6.64E-05,1.00E-04
15.0379,6.43E-05,1.00E-04
15.038,6.57E-05,1.00E-04
15.0381,6.61E-05,1.00E-04
15.0382,6.56E-05,1.00E-04
15.0383,6.36E-05,1.00E-04
15.0384,6.17E-05,1.00E-04
15.0385,6.14E-05,1.00E-04
15.0386,6.29E-05,1.00E-04
15.0387,6.30E-05,1.00E-04
15.0388,6.23E-05,1.00E-04
15.0389,5.23E-05,1.00E-04
15.039,5.28E-05,1.00E-04
15.0391,5.47E-05,1.00E-04
15.0392,5.17E-05,1.00E-04
15.0393,5.26E-05,1.00E-04
15.0394,5.28E-05,1.00E-04
15.0395,5.81E-05,1.00E-04
15.0396,5.91E-05,1.00E-04
15.0397,5.68E-05,1.00E-04
15.0398,0.000539268,1.00E-04
15.0399,0.000827037,1.00E-04
15.04,0.000912349,1.00E-04
15.0401,0.000982498,1.00E-04
15.0402,0.001036831,1.00E-04
15.0403,0.001023316,1.00E-04
15.0404,0.000973229,1.00E-04
15.0405,0.000931907,1.00E-04
15.0406,0.000911028,1.00E-04
15.0407,0.000822301,1.00E-04
15.0408,0.000715811,1.00E-04
15.0409,0.000624389,1.00E-04
15.041,0.000541575,1.00E-04
15.0411,0.000471187,1.00E-04
15.0412,0.000430029,1.00E-04
15.0413,0.000748994,1.00E-04
15.0414,0.001623164,1.00E-04
15.0415,0.002581393,1.00E-04
15.0416,0.003370693,1.00E-04
15.0417,0.00401896,1.00E-04
15.0418,0.004444272,1.00E-04
15.0419,0.004739679,1.00E-04
15.042,0.005298247,1.00E-04
15.0421,0.005503459,1.00E-04
15.0422,0.005408014,1.00E-04
15.0423,0.005522889,1.00E-04
15.0424,0.005681929,1.00E-04
15.0425,0.005479534,1.00E-04
15.0426,0.005156396,1.00E-04
15.0427,0.004966615,1.00E-04
15.0428,0.00513227,1.00E-04
15.0429,0.00546972,1.00E-04
15.043,0.005908669,1.00E-04
15.0431,0.006268106,1.00E-04
15.0432,0.006470794,1.00E-04
15.0433,0.006502004,1.00E-04
15.0434,0.006766642,1.00E-04
15.0435,0.006570739,1.00E-04
15.0436,0.005910867,1.00E-04
15.0437,0.005320355,1.00E-04
15.0438,0.005195568,1.00E-04
15.0439,0.005507856,1.00E-04
15.044,0.005924396,1.00E-04
15.0441,0.006266846,1.00E-04
15.0442,0.006545796,1.00E-04
15.0443,0.006601422,1.00E-04
15.0444,0.006752581,1.00E-04
15.0445,0.006854906,1.00E-04
15.0446,0.006442035,1.00E-04
15.0447,0.006022086,1.00E-04
15.0448,0.005472251,1.00E-04
15.0449,0.004930569,1.00E-04
15.045,0.004475787,1.00E-04
15.0451,0.004003413,1.00E-04
15.0453,0.003157524,2.00E-04
15.0455,0.002486581,2.00E-04
15.0457,0.001961123,2.00E-04
15.0459,0.001540751,2.00E-04
15.0461,0.001220371,2.00E-04
15.0463,0.000958203,2.00E-04
15.0465,0.000768022,2.00E-04
15.0467,0.000619741,2.00E-04
15.0469,0.000496367,2.00E-04
15.0471,0.000406428,2.00E-04
15.0473,0.000332209,2.00E-04
15.0475,0.000279352,2.00E-04
15.0477,0.000224964,2.00E-04
15.0479,0.000194858,2.00E-04
15.0481,0.000170631,2.00E-04
15.0483,0.00014786,2.00E-04
15.0484,0.000139952,1.00E-04
15.0485,0.000130874,1.00E-04
15.0486,0.000124729,1.00E-04
15.0487,0.000116066,1.00E-04
15.0488,0.00011678,1.00E-04
15.0489,0.000109063,1.00E-04
15.049,9.81E-05,1.00E-04
15.0491,9.77E-05,1.00E-04
15.0492,9.20E-05,1.00E-04
15.0493,9.32E-05,1.00E-04
15.0494,8.86E-05,1.00E-04
15.0498,7.79E-05,4.00E-04
15.0502,5.80E-05,4.00E-04
15.0506,3.72E-05,4.00E-04
15.051,2.35E-05,4.00E-04
15.0514,4.20E-06,4.00E-04
15.0518,1.14E-05,4.00E-04
15.0522,1.01E-05,4.00E-04
15.0526,1.07E-05,4.00E-04
15.053,7.50E-06,4.00E-04
15.0534,9.00E-06,4.00E-04
